id,neighborhood,host_since,host_acceptance_rate,superhost,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
26,Shaw,10/31/2009,0.89,F,7,Entire home/apt,4,1 bath,2,2,72.00,31
45,Capitol Hill,9/1/2011,0.8,F,4,Entire home/apt,3,1 bath,1,1,205.00,2
56,Edgewood,6/27/2012,0.99,F,11,Entire home/apt,6,1 bath,1,4,93.00,2
87,Edgewood,12/10/2010,0.76,F,91,Private room,1,2 shared baths,0,1,30.00,31
93,Shaw,2/26/2012,0.83,F,2,Entire home/apt,3,1 bath,1,2,200.00,3
99,Columbia Heights,8/16/2013,0.98,F,2,Entire home/apt,2,1 bath,1,2,96.00,2
106,Union Station,10/3/2013,0.83,F,2,Entire home/apt,6,2.5 baths,3,3,224.00,4
111,Shaw,7/24/2012,0.4,F,1,Entire home/apt,2,1 bath,1,1,130.00,31
117,Downtown,10/14/2013,0.99,F,1376,Entire home/apt,3,1 bath,1,2,338.00,1
125,Dupont Circle,12/10/2010,0.76,F,91,Private room,1,1 shared bath,1,1,55.00,31
128,Columbia Heights,9/15/2012,0.95,F,13,Entire home/apt,6,2 baths,2,3,272.00,3
134,Columbia Heights,8/9/2013,0.86,F,1,Entire home/apt,2,1 bath,1,1,104.00,2
136,Union Station,2/5/2014,0.95,F,1,Private room,2,1.5 shared baths,1,2,77.00,2
142,Edgewood,1/22/2014,0.99,F,4,Private room,2,1.5 shared baths,1,1,99.00,2
143,Downtown,1/22/2014,0.99,F,4,Private room,2,1.5 shared baths,1,1,88.00,2
151,Columbia Heights,3/23/2014,0.9,F,1,Entire home/apt,5,1.5 baths,3,3,222.00,2
158,Columbia Heights,4/24/2014,0.47,F,14,Entire home/apt,2,1 bath,0,1,93.00,3
162,Shaw,5/3/2014,1,F,1,Entire home/apt,3,1 bath,1,2,187.00,3
177,Capitol Hill,7/18/2014,0.92,F,1,Entire home/apt,4,1 bath,1,2,150.00,20
180,Georgetown,7/20/2014,0.97,F,1,Entire home/apt,3,1 bath,0,2,133.00,2
206,Dupont Circle,9/9/2014,0.76,F,2,Entire home/apt,2,1 bath,1,1,111.00,3
207,Columbia Heights,4/4/2012,0.82,F,21,Entire home/apt,3,1 bath,1,2,91.00,31
209,Downtown,1/22/2014,0.99,F,4,Private room,1,1.5 shared baths,1,1,73.00,2
213,Dupont Circle,1/15/2011,1,F,3,Entire home/apt,3,1 bath,1,2,167.00,3
215,Georgetown,10/12/2014,0.9,F,1,Entire home/apt,3,1 bath,1,3,131.00,3
221,Downtown,8/9/2013,1,F,7,Private room,1,1 shared bath,1,1,68.00,31
223,Downtown,10/14/2013,0.99,F,1376,Entire home/apt,5,2 baths,2,2,397.00,1
239,Shaw,2/26/2013,0.99,F,7,Entire home/apt,4,1 bath,1,1,148.00,2
253,Edgewood,1/7/2015,1,F,3,Entire home/apt,6,2 baths,2,2,166.00,31
258,Edgewood,11/21/2013,1,F,2,Entire home/apt,5,2.5 baths,3,3,279.00,2
260,Edgewood,1/9/2015,0.98,F,7,Entire home/apt,6,2 baths,4,4,266.00,2
267,Kalorama Heights,12/18/2012,0.63,F,1,Entire home/apt,5,1 bath,2,3,157.00,2
278,Edgewood,3/14/2015,0.64,F,1,Private room,2,1 bath,1,1,102.00,2
283,Shaw,4/25/2013,0.94,F,4,Private room,4,1 shared bath,1,2,143.00,2
289,Downtown,3/30/2015,0.99,F,2117,Entire home/apt,5,2 baths,2,2,397.00,1
293,Columbia Heights,4/24/2014,0.47,F,14,Entire home/apt,2,1 bath,1,2,109.00,4
297,Capitol Hill,10/22/2013,0.99,F,2,Entire home/apt,6,2.5 baths,3,3,351.00,3
298,Edgewood,8/27/2009,0.99,F,1,Entire home/apt,3,1 bath,1,1,69.00,2
317,Union Station,11/21/2014,0.5,F,3,Entire home/apt,6,2.5 baths,3,4,202.00,31
323,Downtown,3/30/2015,0.99,F,2117,Entire home/apt,3,1 bath,1,2,338.00,1
339,Downtown,3/30/2015,0.99,F,2117,Entire home/apt,3,1 bath,1,2,338.00,1
353,Columbia Heights,6/29/2015,1,F,3,Entire home/apt,3,1 bath,1,1,111.00,31
355,Union Station,10/5/2014,1,F,1,Entire home/apt,6,1 bath,2,2,167.00,3
357,Kalorama Heights,4/24/2014,0.47,F,14,Entire home/apt,3,1 bath,0,2,109.00,5
359,Columbia Heights,8/16/2015,0.96,F,8,Entire home/apt,5,2 baths,2,2,156.00,3
369,Columbia Heights,8/16/2015,0.96,F,8,Entire home/apt,4,1 bath,1,2,119.00,3
370,Shaw,10/8/2013,1,F,5,Entire home/apt,6,2 baths,2,2,129.00,31
371,Columbia Heights,8/16/2015,0.96,F,8,,5,1 bath,2,7,186.00,2
374,Columbia Heights,8/16/2015,0.96,F,8,Entire home/apt,10,3.5 baths,5,6,501.00,2
391,Shaw,8/3/2010,0.46,F,1,Entire home/apt,1,1 bath,1,1,115.00,3
393,Capitol Hill,4/11/2013,1,F,1,Entire home/apt,6,1 bath,2,3,186.00,1
397,Downtown,8/9/2013,1,F,7,Private room,1,1 shared bath,1,1,77.00,31
418,Kalorama Heights,4/24/2014,0.47,F,14,Entire home/apt,3,1 bath,1,2,102.00,4
430,Kalorama Heights,1/2/2016,0.81,F,1,Entire home/apt,2,1 bath,1,1,180.00,3
432,Union Station,9/20/2015,0.92,F,3,Private room,4,2 baths,2,2,157.00,3
496,Columbia Heights,10/6/2013,0.95,F,1,,4,1 bath,1,2,125.00,2
506,Downtown,8/9/2013,1,F,7,Private room,1,1 shared bath,1,1,81.00,31
511,Union Station,5/8/2015,1,F,1,Entire home/apt,4,1 bath,1,2,183.00,4
544,Edgewood,11/17/2009,0.19,F,17,Private room,1,1 shared bath,1,1,38.00,32
546,Edgewood,11/17/2009,0.19,F,17,Private room,1,1 private bath,1,1,44.00,31
552,Columbia Heights,6/14/2016,1,F,2,Private room,2,1 private bath,1,1,120.00,1
557,Union Station,6/21/2016,0.79,F,3,Entire home/apt,3,1 bath,1,2,76.00,31
565,Union Station,2/10/2016,0.97,F,1,Entire home/apt,4,1 bath,1,1,128.00,2
581,Edgewood,8/9/2016,1,F,2,Entire home/apt,6,1 bath,2,2,137.00,3
583,Downtown,8/9/2013,1,F,7,Private room,1,1 shared bath,1,1,50.00,31
