listing_id,total_reviews,avg_rating
3,546,4.86
4,67,4.88
5,102,4.66
14,16,4.87
16,167,4.86
17,165,4.52
24,265,4.88
26,191,4.31
29,162,4.74
31,116,4.59
38,199,4.85
39,114,4.91
45,156,4.8
46,284,4.8
47,620,4.88
50,466,4.93
51,1050,4.88
53,278,4.86
56,377,4.75
57,201,4.81
60,568,4.8
61,56,4.66
62,784,4.88
65,309,4.6
71,562,4.74
87,4,3.25
89,530,4.95
90,469,4.57
93,14,4.86
94,104,4.85
97,606,4.74
99,268,4.85
100,150,4.94
102,527,4.93
104,352,4.89
106,22,4.95
107,199,4.95
109,492,4.89
110,137,4.91
111,26,4.76
112,236,4.94
117,35,4.63
118,28,4.96
120,209,4.92
125,12,4.75
127,86,4.89
128,206,4.49
130,396,4.88
134,52,4.9
135,108,4.97
136,554,4.77
138,169,4.86
142,327,4.5
143,331,4.52
146,167,4.85
149,214,
150,20,4.8
151,62,4.69
154,74,4.81
155,148,4.71
157,781,4.93
158,71,4.45
159,27,4.81
160,759,4.88
161,47,4.68
162,340,4.69
163,406,4.96
164,207,
166,9,4.67
170,14,5
171,69,4.83
173,195,4.81
175,492,4.61
177,205,4.91
178,316,4.84
180,348,4.86
185,237,4.9
186,19,4.58
188,37,4.73
191,203,4.94
195,95,4.86
196,27,4.7
200,30,4.67
205,497,4.9
206,468,4.9
207,130,4.38
209,319,4.58
210,25,4.64
212,551,4.85
213,586,4.72
215,247,4.79
216,23,4.83
218,23,4.39
219,193,4.91
221,173,4.55
223,78,4.44
228,1080,4.73
229,460,4.96
233,417,4.85
234,50,4.9
235,284,4.76
237,373,4.87
239,49,4.57
240,380,4.89
241,344,4.69
242,272,4.95
245,211,4.88
246,702,4.93
248,146,4.88
249,429,4.91
252,55,4.95
253,43,4.95
254,141,4.84
255,56,4.86
257,126,4.9
258,188,4.86
259,143,4.68
260,183,4.72
261,125,4.86
262,190,4.84
263,630,4.86
265,343,4.77
266,86,4.71
267,141,4.8
268,401,
269,85,4.91
270,318,4.89
272,297,4.85
273,386,4.95
275,449,4.84
278,108,4.88
279,752,4.89
280,710,4.94
283,373,4.63
285,363,4.86
286,174,4.86
287,44,4.95
289,86,4.33
291,280,4.85
293,57,4.74
297,136,4.94
298,419,4.58
306,311,4.89
310,55,4.91
312,56,4.91
317,169,4.84
318,315,4.82
319,468,4.85
323,4,4.5
329,113,4.8
331,252,4.76
337,408,4.93
339,5,4.2
340,68,4.87
342,122,4.92
345,218,4.8
346,257,4.76
353,27,4.52
355,204,4.84
356,64,4.92
357,89,4.48
359,56,4.54
368,434,4.74
369,54,4.65
370,111,4.82
371,70,4.53
374,171,4.71
375,290,4.93
378,232,4.82
379,247,4.76
380,159,4.84
381,262,4.89
385,116,4.95
387,319,4.82
388,340,4.89
390,1,5
391,134,4.88
392,313,4.95
393,757,4.76
394,223,4.96
395,310,4.91
396,332,4.9
397,100,4.61
399,148,4.86
400,54,4.93
403,241,4.85
408,24,4.96
411,150,4.72
414,566,4.91
418,43,4.37
419,31,4.71
420,373,
421,24,4.96
422,74,4.85
424,38,4.84
426,19,4.79
428,381,4.78
430,77,4.83
431,3,5
432,230,4.79
433,188,4.91
434,22,4.91
438,615,4.96
439,327,
441,129,4.82
442,82,4.82
445,530,4.85
446,69,4.91
449,172,4.9
450,117,4.94
458,187,4.86
459,584,4.81
460,381,4.95
468,122,4.58
469,54,4.96
472,303,4.9
474,145,4.94
481,139,4.89
482,433,4.8
483,362,4.94
486,205,4.93
488,15,4.73
490,445,4.78
491,432,4.79
492,463,4.75
493,19,4.16
496,97,4.93
498,62,4.97
502,1,5
503,372,
504,344,4.93
505,614,4.94
506,88,4.68
507,254,4.81
508,235,4.99
510,407,
511,78,
517,127,4.85
520,105,4.76
527,532,4.88
529,31,4.9
532,235,4.78
533,251,4.96
536,211,4.97
537,29,4.48
539,342,4.85
544,17,4.82
546,24,4.83
547,81,4.89
551,53,4.94
552,78,4.78
555,632,4.94
556,409,4.86
557,4,4.5
558,446,4.9
564,1,5
565,495,4.88
569,358,4.95
571,187,4.8
573,308,4.82
577,205,
580,48,4.92
581,521,4.84
583,73,4.6
587,306,4.86
588,37,4.49
590,565,4.92
594,196,4.85
595,368,4.87
597,651,4.82
599,237,
600,271,
603,46,4.78
608,257,4.96
613,318,4.87
615,1,5
617,296,4.85
620,247,5
622,237,4.92
623,114,
624,270,4.9
628,211,4.94
632,252,4.92
641,35,4.91
642,342,4.72
645,201,4.78
646,86,4.88
647,153,4.89
649,116,4.77
651,46,4.96
653,33,
654,98,4.94
655,17,4.88
657,342,4.87
658,14,4.86
664,642,4.94
665,245,
673,166,4.8
676,20,4.6
677,14,4.64
678,630,4.93
680,710,4.92
682,543,4.74
684,39,4.95
687,399,4.94
689,668,4.95
690,5,5
692,387,4.82
693,209,4.9
694,84,4.94
695,134,4.93
697,261,4.83
698,306,4.89
701,13,4.85
702,530,4.82
704,25,4.8
705,13,4.46
706,81,4.94
707,426,4.89
708,60,5
709,194,4.96
711,183,
712,164,4.79
715,143,4.62
720,209,4.92
721,12,4.17
727,157,4.9
728,15,4.67
729,528,4.99
731,576,4.73
732,27,4.96
737,11,
738,12,4.75
739,381,
740,478,4.85
741,245,4.86
745,716,4.77
747,390,4.88
748,6,5
749,667,4.92
750,249,4.71
753,33,4.7
764,57,4.35
765,196,4.9
767,334,4.94
768,305,
769,178,4.84
773,173,4.53
774,318,
775,94,4.95
781,328,4.77
782,377,4.81
788,106,4.84
789,336,4.87
791,204,4.78
792,86,4.66
794,6,5
796,207,4.87
798,329,4.43
799,199,4.81
800,513,4.77
802,132,4.8
806,62,4.87
807,274,4.93
808,6,5
809,159,4.9
810,279,4.85
812,165,4.67
816,259,4.81
817,473,4.77
819,25,4.84
